"entering_grade_level","district","birth_month","olsat_verbal_score","olsat_verbal_percentile","nnat_non_verbal_raw_score","nnat_non_verbal_percentile","overall_score","school_assigned","date","first_choice","remaining_choices","testprep","enrollment"
"kindergarten",2,"April",29,99,42,99,99,"Lower Lab",2017-06-01,"Anderson","Nest+M, Lower Lab, BSI, 33,11,111",NA,"Yes"
"kindergarten",2,"January",28,NA,41,NA,99,"Anderson",2017-06-01,"Anderson","NEST+T, Lower Lab, TAG",NA,"Yes"
"first",2,"March",NA,98,NA,98,98,NA,2017-06-02,"none","none",NA,""
"kindergarten",2,"July",NA,97,NA,98,98,"PS130",2017-06-02,"NEST","LL,Anderson,TAG,PS130,PS11,PS124",NA,"Unsure"
"kindergarten",3,"April",23,96,39,99,98,"PS166",2017-06-02,"none","none",NA,"Yes"
"kindergarten",2,"April",27,99,37,99,99,"NEST",2017-06-04,"NEST","PS33",NA,"Yes"
"first",3,"November",NA,99,NA,99,99,"PS 166",2017-06-04,"Anderson","NEST, PS 166, TAG, LL",NA,"Yes"
"kindergarten",2,"April",25,NA,39,99,99,"Lower Lab",2017-06-06,"LL","Anderson, Nest+m, 198",NA,"Yes"
"kindergarten",26,"January",24,96,45,99,98,NA,2017-06-06,"none","none",NA,"Unsure"
"kindergarten",2,"December",NA,99,NA,99,99,NA,2017-06-07,"none","none",NA,"Yes"
"first",2,"August",30,99,44,99,99,"Lower lab (off waitlist)",1899-12-30,"Lower Lab","Anderson, PS 11, NEST + m, Ps 33",NA,"Yes"
"kindergarten",20,"July",NA,97,NA,99,98,"Ps205",2017-06-21,"PS229","none",NA,"Yes"
"kindergarten",32,"February",26,99,40,99,99,NA,2017-09-14,"none","none",NA,"Unsure"
"kindergarten",4,"April",19,84,33,95,91,"Ps102",2017-11-19,"Ps 102","none",NA,"Yes"
"kindergarten",2,"January",24,97,44,99,98,"Ps33",2019-01-11,"Ps11","none",NA,"Yes"
